"","Study_ID","Comparative_study_code","Intervention_R2","Population_homogenized","Trait_group","Outcome_type_R1"
"1","s_5","Pelosi_2013_17","Tillage management","Earthworms","Morphological, Behavioral, Physiological","Functional"
"2","s_5","Pelosi_2013_18","Tillage management","Earthworms","Morphological, Behavioral, Physiological","Functional"
"3","s_5","Pelosi_2013_19","Tillage management","Earthworms","Morphological, Behavioral, Physiological","Functional"
"4","s_5","Pelosi_2013_20","Tillage management","Earthworms","Morphological, Behavioral, Physiological","Functional"
"5","s_5","Pelosi_2013_21","Tillage management","Earthworms","Morphological, Behavioral, Physiological","Functional"
"6","s_5","Pelosi_2013_22","Tillage management","Earthworms","Morphological, Behavioral, Physiological","Functional"
"7","s_5","Pelosi_2013_23","Tillage management","Earthworms","Morphological, Behavioral, Physiological","Functional"
"8","s_5","Pelosi_2013_24","Tillage management","Earthworms","Morphological, Behavioral, Physiological","Functional"
"9","s_5","Pelosi_2013_25","Tillage management","Earthworms","Morphological","Functional"
"10","s_5","Pelosi_2013_26","Tillage management","Earthworms","Morphological","Functional"
"11","s_5","Pelosi_2013_27","Tillage management","Earthworms","Morphological","Functional"
"12","s_5","Pelosi_2013_28","Tillage management","Earthworms","Morphological","Functional"
"13","s_5","Pelosi_2013_29","Tillage management","Earthworms","Morphological","Functional"
"14","s_5","Pelosi_2013_30","Tillage management","Earthworms","Physiological","Functional"
"15","s_5","Pelosi_2013_31","Tillage management","Earthworms","Behavioral","Functional"
"16","s_5","Pelosi_2013_32","Tillage management","Earthworms","Morphological","Functional"
"17","s_5","Pelosi_2013_33","Tillage management","Earthworms","Morphological","Functional"
"18","s_5","Pelosi_2013_34","Tillage management","Earthworms","Morphological","Functional"
"19","s_5","Pelosi_2013_35","Tillage management","Earthworms","Morphological","Functional"
"20","s_5","Pelosi_2013_36","Tillage management","Earthworms","Morphological","Functional"
"21","s_5","Pelosi_2013_37","Tillage management","Earthworms","Physiological","Functional"
"22","s_5","Pelosi_2013_38","Tillage management","Earthworms","Behavioral","Functional"
"23","s_5","Pelosi_2013_39","Tillage management","Earthworms","Morphological","Functional"
"24","s_5","Pelosi_2013_40","Tillage management","Earthworms","Morphological","Functional"
"25","s_5","Pelosi_2013_41","Tillage management","Earthworms","Morphological","Functional"
"26","s_5","Pelosi_2013_42","Tillage management","Earthworms","Morphological","Functional"
"27","s_5","Pelosi_2013_43","Tillage management","Earthworms","Morphological","Functional"
"28","s_5","Pelosi_2013_44","Tillage management","Earthworms","Physiological","Functional"
"29","s_5","Pelosi_2013_45","Tillage management","Earthworms","Behavioral","Functional"
"30","s_5","Pelosi_2013_46","Tillage management","Earthworms","Morphological","Functional"
"31","s_5","Pelosi_2013_47","Tillage management","Earthworms","Morphological","Functional"
"32","s_5","Pelosi_2013_48","Tillage management","Earthworms","Morphological","Functional"
"33","s_5","Pelosi_2013_49","Tillage management","Earthworms","Morphological","Functional"
"34","s_5","Pelosi_2013_50","Tillage management","Earthworms","Morphological","Functional"
"35","s_5","Pelosi_2013_51","Tillage management","Earthworms","Physiological","Functional"
"36","s_5","Pelosi_2013_52","Tillage management","Earthworms","Behavioral","Functional"
"37","s_5","Pelosi_2013_53","Tillage management","Earthworms","Morphological","Functional"
"38","s_5","Pelosi_2013_54","Tillage management","Earthworms","Morphological","Functional"
"39","s_5","Pelosi_2013_55","Tillage management","Earthworms","Morphological","Functional"
"40","s_5","Pelosi_2013_56","Tillage management","Earthworms","Morphological","Functional"
"41","s_5","Pelosi_2013_57","Tillage management","Earthworms","Morphological","Functional"
"42","s_5","Pelosi_2013_58","Tillage management","Earthworms","Physiological","Functional"
"43","s_5","Pelosi_2013_59","Tillage management","Earthworms","Behavioral","Functional"
"44","s_5","Pelosi_2013_60","Tillage management","Earthworms","Morphological","Functional"
"45","s_5","Pelosi_2013_61","Tillage management","Earthworms","Morphological","Functional"
"46","s_5","Pelosi_2013_62","Tillage management","Earthworms","Morphological","Functional"
"47","s_5","Pelosi_2013_63","Tillage management","Earthworms","Morphological","Functional"
"48","s_5","Pelosi_2013_64","Tillage management","Earthworms","Morphological","Functional"
"49","s_5","Pelosi_2013_65","Tillage management","Earthworms","Physiological","Functional"
"50","s_5","Pelosi_2013_66","Tillage management","Earthworms","Behavioral","Functional"
"51","s_5","Pelosi_2013_67","Tillage management","Earthworms",NA,"Functional"
"52","s_5","Pelosi_2013_68","Tillage management","Earthworms",NA,"Functional"
"53","s_5","Pelosi_2013_69","Tillage management","Earthworms",NA,"Functional"
"54","s_5","Pelosi_2013_70","Tillage management","Earthworms",NA,"Functional"
"55","s_5","Pelosi_2013_71","Tillage management","Earthworms",NA,"Functional"
"56","s_5","Pelosi_2013_72","Tillage management","Earthworms",NA,"Functional"
"57","s_5","Pelosi_2013_73","Tillage management","Earthworms",NA,"Functional"
"58","s_5","Pelosi_2013_74","Tillage management","Earthworms",NA,"Functional"
"59","s_5","Pelosi_2013_75","Tillage management","Earthworms",NA,"Functional"
"60","s_5","Pelosi_2013_76","Tillage management","Earthworms",NA,"Functional"
"61","s_5","Pelosi_2013_77","Tillage management","Earthworms",NA,"Functional"
"62","s_5","Pelosi_2013_78","Tillage management","Earthworms",NA,"Functional"
"63","s_5","Pelosi_2013_79","Tillage management","Earthworms",NA,"Functional"
"64","s_5","Pelosi_2013_80","Tillage management","Earthworms",NA,"Functional"
"65","s_5","Pelosi_2013_81","Tillage management","Earthworms",NA,"Functional"
"66","s_5","Pelosi_2013_82","Tillage management","Earthworms",NA,"Functional"
"67","s_5","Pelosi_2013_83","Tillage management","Earthworms",NA,"Functional"
"68","s_5","Pelosi_2013_84","Tillage management","Earthworms",NA,"Functional"
"69","s_5","Pelosi_2013_85","Tillage management","Earthworms",NA,"Functional"
"70","s_5","Pelosi_2013_86","Tillage management","Earthworms",NA,"Functional"
"71","s_5","Pelosi_2013_87","Tillage management","Earthworms",NA,"Functional"
"72","s_5","Pelosi_2013_88","Tillage management","Earthworms",NA,"Functional"
"73","s_5","Pelosi_2013_89","Tillage management","Earthworms",NA,"Functional"
"74","s_5","Pelosi_2013_90","Tillage management","Earthworms",NA,"Functional"
"75","s_7","Hawes_2007_2","GMO","Beetles","Morphological","Functional"
"76","s_7","Hawes_2007_3","GMO","Beetles","Morphological","Functional"
"77","s_7","Hawes_2007_5","GMO","Beetles","Morphological","Functional"
"78","s_7","Hawes_2007_6","GMO","Beetles","Morphological","Functional"
"79","s_7","Hawes_2007_8","GMO","Beetles","Morphological","Functional"
"80","s_7","Hawes_2007_9","GMO","Beetles","Morphological","Functional"
"81","s_7","Hawes_2007_11","GMO","Beetles","Morphological","Functional"
"82","s_7","Hawes_2007_12","GMO","Beetles","Morphological","Functional"
"83","s_7","Hawes_2007_14","GMO","Beetles","Morphological","Functional"
"84","s_7","Hawes_2007_15","GMO","Beetles","Morphological","Functional"
"85","s_7","Hawes_2007_17","GMO","Collembola","Morphological","Functional"
"86","s_7","Hawes_2007_18","GMO","Collembola","Morphological","Functional"
"87","s_7","Hawes_2007_20","GMO","Collembola","Morphological","Functional"
"88","s_7","Hawes_2007_21","GMO","Collembola","Morphological","Functional"
"89","s_7","Hawes_2007_23","GMO","Beetles","Morphological","Functional"
"90","s_7","Hawes_2007_24","GMO","Beetles","Morphological","Functional"
"91","s_7","Hawes_2007_26","GMO","Beetles","Morphological","Functional"
"92","s_7","Hawes_2007_27","GMO","Beetles","Morphological","Functional"
"93","s_7","Hawes_2007_29","GMO","Spiders","Morphological","Functional"
"94","s_7","Hawes_2007_30","GMO","Spiders","Morphological","Functional"
"95","s_7","Hawes_2007_32","GMO","Beetles","Morphological","Functional"
"96","s_7","Hawes_2007_33","GMO","Beetles","Morphological","Functional"
"97","s_7","Hawes_2007_35","GMO","Beetles","Morphological","Functional"
"98","s_7","Hawes_2007_36","GMO","Beetles","Morphological","Functional"
"99","s_7","Hawes_2007_38","GMO","Spiders","Morphological","Functional"
"100","s_7","Hawes_2007_39","GMO","Spiders","Morphological","Functional"
"101","s_7","Hawes_2007_41","GMO","Beetles","Morphological","Functional"
"102","s_7","Hawes_2007_42","GMO","Beetles","Morphological","Functional"
"103","s_7","Hawes_2007_44","GMO","Beetles","Morphological","Functional"
"104","s_7","Hawes_2007_45","GMO","Beetles","Morphological","Functional"
"105","s_7","Hawes_2007_47","GMO","Beetles","Morphological","Functional"
"106","s_7","Hawes_2007_48","GMO","Beetles","Morphological","Functional"
"107","s_7","Hawes_2007_49","GMO","Invertebrates","Behavioral, Morphological","Functional"
"108","s_8","Yin_2020_1","Organic agriculture","Collembola","Morphological, Physiological, Behavioral","Functional"
"109","s_8","Yin_2020_2","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"110","s_8","Yin_2020_3","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"111","s_8","Yin_2020_4","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"112","s_8","Yin_2020_5","Organic agriculture","Collembola","Morphological, Physiological, Behavioral","Functional"
"113","s_8","Yin_2020_6","Organic agriculture","Collembola","Morphological, Physiological, Behavioral","Functional"
"114","s_8","Yin_2020_7","Organic agriculture","Collembola","Morphological, Physiological, Behavioral","Functional"
"115","s_8","Yin_2020_8","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"116","s_8","Yin_2020_9","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
