"","Study_ID","Population_homogenized","Intervention_R2","Comparator","Outcome_indicator","Class"
"1","s_5","Earthworms","Tillage management","Direct-seeding","Specific richness",NA
"2","s_5","Earthworms","Tillage management","Superficial tillage","Specific richness",NA
"3","s_5","Earthworms","Tillage management","Direct-seeding","Surface density",NA
"4","s_5","Earthworms","Tillage management","Superficial tillage","Surface density",NA
"5","s_5","Earthworms","Tillage management","Direct-seeding","Rao's quadratic diversity",NA
"6","s_5","Earthworms","Tillage management","Superficial tillage","Rao's quadratic diversity",NA
"7","s_5","Earthworms","Tillage management","Direct-seeding","CWM",NA
"8","s_5","Earthworms","Tillage management","Superficial tillage","CWM",NA
"9","s_5","Earthworms","Tillage management","Direct seeding","CWM",NA
"10","s_5","Earthworms","Tillage management","Direct seeding","Surface density",NA
"11","s_7","Beetles","GMO","Conventional","Surface density",NA
"12","s_7","Beetles","GMO","Conventional","Dry weight",NA
"13","s_7","Beetles","GMO","Conventional","Body length",NA
"14","s_7","Collembola","GMO","Conventional","Surface density",NA
"15","s_7","Collembola","GMO","Conventional","Dry weight",NA
"16","s_7","Collembola","GMO","Conventional","Body length",NA
"17","s_7","Spiders","GMO","Conventional","Surface density",NA
"18","s_7","Spiders","GMO","Conventional","Dry weight",NA
"19","s_7","Spiders","GMO","Conventional","Body length",NA
"20","s_7","Invertebrates","GMO","Conventional","Canonical Variates Analyses",NA
"21","s_8","Collembola","Organic agriculture","Conventional","Functional richness (FRic)",NA
"22","s_8","Collembola","Combined practices","Conventional","Functional richness (FRic)",NA
"23","s_8","Collembola","Organic agriculture","Intensively-used meadow","Functional richness (FRic)",NA
"24","s_8","Collembola","Organic agriculture","Extensively-used meadow","Functional richness (FRic)",NA
"25","s_8","Collembola","Organic agriculture","Extensively-used pasture","Functional richness (FRic)",NA
"26","s_8","Collembola","Combined practices","Extensively-used meadow","Functional richness (FRic)",NA
"27","s_8","Collembola","Combined practices","Extensively-used pasture","Functional richness (FRic)",NA
"28","s_8","Collembola","Organic agriculture","Conventional","Functional evenness (FEve)",NA
"29","s_8","Collembola","Combined practices","Conventional","Functional evenness (FEve)",NA
"30","s_8","Collembola","Organic agriculture","Intensively-used meadow","Functional evenness (FEve)",NA
"31","s_8","Collembola","Organic agriculture","Extensively-used meadow","Functional evenness (FEve)",NA
"32","s_8","Collembola","Organic agriculture","Extensively-used pasture","Functional evenness (FEve)",NA
"33","s_8","Collembola","Combined practices","Extensively-used meadow","Functional evenness (FEve)",NA
"34","s_8","Collembola","Combined practices","Extensively-used pasture","Functional evenness (FEve)",NA
"35","s_8","Collembola","Organic agriculture","Conventional","CWM",NA
"36","s_8","Collembola","Combined practices","Conventional","CWM",NA
"37","s_8","Collembola","Organic agriculture","Intensively-used meadow","CWM",NA
"38","s_8","Collembola","Organic agriculture","Extensively-used meadow","CWM",NA
"39","s_8","Collembola","Organic agriculture","Extensively-used pasture","CWM",NA
"40","s_8","Collembola","Combined practices","Extensively-used meadow","CWM",NA
"41","s_8","Collembola","Combined practices","Extensively-used pasture","CWM",NA
"42","s_8","Collembola","Organic agriculture","Conventional","NMDS",NA
"43","s_8","Collembola","Combined practices","Conventional","NMDS",NA
"44","s_8","Collembola","Organic agriculture","Intensively-used meadow","NMDS",NA
"45","s_8","Collembola","Organic agriculture","Extensively-used meadow","NMDS",NA
"46","s_8","Collembola","Organic agriculture","Extensively-used pasture","NMDS",NA
"47","s_8","Collembola","Combined practices","Extensively-used meadow","NMDS",NA
"48","s_8","Collembola","Combined practices","Extensively-used pasture","NMDS",NA
"49","s_24","Spiders","Organic agriculture","Conventional","CWM",NA
"50","s_24","Spiders","Organic agriculture","Conventional","Functional Diversity variance (FDvar)",NA
"51","s_24","Spiders","Organic agriculture","Conventional","RLQ",NA
"52","s_24","Beetles","Organic agriculture","Conventional","CWM",NA
"53","s_24","Beetles","Organic agriculture","Conventional","Functional Diversity variance (FDvar)",NA
"54","s_24","Beetles","Organic agriculture","Conventional","RLQ",NA
"55","s_25","Spiders","Landscape complexity","Herbaceous linear landscape elements","CWM",NA
"56","s_25","Spiders","Landscape complexity","Herbaceous linear landscape elements","Proportion of species","Ballooning common"
"57","s_25","Spiders","Landscape complexity","Herbaceous linear landscape elements","Proportion of species","Ballooning less common"
"58","s_25","Spiders","Landscape complexity","Herbaceous linear landscape elements","Proportion of species","Ballooning uncommon"
"59","s_25","Spiders","Landscape complexity","Herbaceous linear landscape elements","Proportion of species","Ground hunters"
"60","s_25","Spiders","Landscape complexity","Herbaceous linear landscape elements","Proportion of species","Sheet-web hunters"
"61","s_25","Beetles","Landscape complexity","Herbaceous linear landscape elements","CWM",NA
"62","s_25","Beetles","Landscape complexity","Herbaceous linear landscape elements","Proportion of species","Winged"
"63","s_25","Beetles","Landscape complexity","Herbaceous linear landscape elements","Proportion of species","Dimorphic"
"64","s_25","Beetles","Landscape complexity","Herbaceous linear landscape elements","Proportion of species","Shortwinged"
"65","s_25","Beetles","Landscape complexity","Herbaceous linear landscape elements","Proportion of species","Herbivores"
"66","s_25","Beetles","Landscape complexity","Herbaceous linear landscape elements","Proportion of species","Predators"
"67","s_25","Spiders","Landscape complexity","Herbaceous linear landscape elements","Specific richness",NA
"68","s_25","Spiders","Landscape complexity","Herbaceous linear landscape elements","FDis",NA
"69","s_25","Beetles","Landscape complexity","Herbaceous linear landscape elements","FDis",NA
"70","s_25","Beetles","Landscape complexity","Herbaceous linear landscape elements","Specific richness",NA
"71","s_27","Macroinvertebrates","Land-use change","Grassland","Relative effect of estimates",NA
"72","s_27","Macroinvertebrates","Land-use change","Grassland","Multi-trait diversity (scaled)",NA
"73","s_32","Earthworms","Combined practices",NA,"RDA",NA
"74","s_32","Earthworms","Crop diversification","Permanent meadow","Surface density",NA
"75","s_32","Earthworms","Crop diversification","Permanent crop","Surface density",NA
"76","s_32","Earthworms","Fertilisers and amendments","No slurry","Surface density",NA
"77","s_32","Macroinvertebrates","Crop diversification","Permanent meadow","Surface density",NA
"78","s_32","Macroinvertebrates","Crop diversification","Permanent crop","Surface density",NA
"79","s_32","Macroinvertebrates","Fertilisers and amendments","No slurry","Surface density",NA
"80","s_32","Collembola","Crop diversification","Permanent meadow","Surface density",NA
"81","s_32","Collembola","Crop diversification","Permanent crop","Surface density",NA
"82","s_32","Collembola","Fertilisers and amendments","No slurry","Surface density",NA
"83","s_32","Macroinvertebrates","Combined practices",NA,"RDA",NA
"84","s_32","Microinvertebrates","Combined practices",NA,"RDA",NA
"85","s_36","Beetles","Combined practices","Field margin","Biomass",NA
"86","s_36","Beetles","Combined practices","Crop wheat","Biomass",NA
"87","s_36","Beetles","Combined practices","Field margin Tussock","Biomass",NA
"88","s_36","Beetles","Combined practices","Field margin P&N","Biomass",NA
"89","s_36","Beetles","Combined practices","Field margin Wild Bird","Biomass",NA
"90","s_36","Beetles","Combined practices","Field margin Wild Flower","Biomass",NA
"91","s_36","Beetles","Combined practices","Field margin Wildflower","Biomass",NA
"92","s_36","Beetles","Combined practices","Intercept","Biomass",NA
"93","s_36","Beetles","Combined practices","Intercept","Specific richness",NA
"94","s_36","Beetles","Combined practices","Intercept","FD",NA
"95","s_36","Beetles","Combined practices","Intercept","FDmovement",NA
"96","s_36","Beetles","Combined practices","Intercept","FDsize",NA
"97","s_36","Beetles","Combined practices","Intercept","FDlocation",NA
"98","s_36","Beetles","Combined practices","No field margin tussock","FD",NA
"99","s_36","Beetles","Combined practices","No oilseed rape crop","FDmovement",NA
"100","s_29","Acari","Land-use change","No CC","Surface density",NA
"101","s_29","Woodlice","Land-use change","No CC","Surface density",NA
"102","s_29","Millipedes","Land-use change","No CC","Surface density",NA
"103","s_29","Beetles","Land-use change","No CC","Surface density",NA
"104","s_29","Collembola","Land-use change","No CC","Surface density",NA
"105","s_29","Other insects","Land-use change","No CC","Surface density",NA
"106","s_29","Microinvertebrates","Land-use change","No CC","Surface density",NA
"107","s_29","Invertebrates","Land-use change","No CC","Simpson index",NA
"108","s_29","Invertebrates","Land-use change","No CC","Shannon diversity index",NA
"109","s_29","Invertebrates","Land-use change","No CC","Pielou’s evenness index",NA
"110","s_29","Invertebrates","Land-use change","No CC","QBS-ar",NA
"111","s_29","Earthworms","Land-use change","No CC","Surface density",NA
"112","s_29","Earthworms","Land-use change","No CC","Biomass",NA
"113","s_40","Spiders","Organic agriculture","Conventional","CWM",NA
"114","s_40","Spiders","Crop diversification","Conventional","CWM",NA
"115","s_40","Spiders","Landscape complexity","1 ha","CWM",NA
"116","s_40","Beetles","Organic agriculture","Conventional","CWM",NA
"117","s_40","Beetles","Crop diversification","Conventional","CWM",NA
"118","s_40","Beetles","Landscape complexity","1 ha","CWM",NA
"119","s_40","Spiders","Combined practices",NA,"RLQ",NA
"120","s_40","Beetles","Combined practices",NA,"RLQ",NA
"121","s_44_Site 1","Microinvertebrates","Tillage management","No till","QBS-ar",NA
"122","s_44_Site 2","Microinvertebrates","Tillage management","No till","QBS-ar",NA
"123","s_44_Site 3","Microinvertebrates","Tillage management","No till","QBS-ar",NA
"124","s_44_Site 4","Microinvertebrates","Tillage management","No till","QBS-ar",NA
"125","s_44_Site 5","Microinvertebrates","Tillage management","No till","QBS-ar",NA
"126","s_44_Site 1","Earthworms","Tillage management","No till","Surface density",NA
"127","s_44_Site 2","Earthworms","Tillage management","No till","Surface density",NA
"128","s_44_Site 3","Earthworms","Tillage management","No till","Surface density",NA
"129","s_44_Site 4","Earthworms","Tillage management","No till","Surface density",NA
"130","s_44_Site 5","Earthworms","Tillage management","No till","Surface density",NA
"131","s_44_Site 1","Earthworms","Tillage management","No till","Biomass",NA
"132","s_44_Site 2","Earthworms","Tillage management","No till","Biomass",NA
"133","s_44_Site 3","Earthworms","Tillage management","No till","Biomass",NA
"134","s_44_Site 4","Earthworms","Tillage management","No till","Biomass",NA
"135","s_44_Site 5","Earthworms","Tillage management","No till","Biomass",NA
"136","s_46","Earthworms","Land-use change","NOT (gradient)","Surface density",NA
"137","s_46","Earthworms","Land-use change","ORG (gradient)","Surface density",NA
"138","s_46","Earthworms","Land-use change","OLD (gradient)","Surface density",NA
"139","s_46","Earthworms","Land-use change","CF (gradient)","Surface density",NA
"140","s_46","Earthworms","Land-use change","DF (gradient)","Surface density",NA
"141","s_46","Earthworms","Land-use change","NOT (gradient)","Biomass",NA
"142","s_46","Earthworms","Land-use change","ORG (gradient)","Biomass",NA
"143","s_46","Earthworms","Land-use change","OLD (gradient)","Biomass",NA
"144","s_46","Earthworms","Land-use change","CF (gradient)","Biomass",NA
"145","s_46","Earthworms","Land-use change","DF (gradient)","Biomass",NA
"146","s_46","Earthworms","Land-use change","Gradient","Biomass","Litter"
"147","s_46","Earthworms","Land-use change","Gradient","Biomass","0 - 10 cm"
"148","s_46","Earthworms","Land-use change","Gradient","Biomass","10 - 25 cm"
"149","s_46","Earthworms","Land-use change","Gradient","Biomass","> 25 cm"
"150","s_46","Earthworms","Land-use change","NOT (gradient)","Species/depth",NA
"151","s_46","Earthworms","Land-use change","ORG (gradient)","Species/depth",NA
"152","s_46","Earthworms","Land-use change","OLD (gradient)","Species/depth",NA
"153","s_46","Earthworms","Land-use change","CF (gradient)","Species/depth",NA
"154","s_46","Earthworms","Land-use change","DF (gradient)","Species/depth",NA
"155","s_46","Earthworms","Land-use change","NOT (gradient)","Specific richness",NA
"156","s_46","Earthworms","Land-use change","ORG (gradient)","Specific richness",NA
"157","s_46","Earthworms","Land-use change","OLD (gradient)","Specific richness",NA
"158","s_46","Earthworms","Land-use change","CF (gradient)","Specific richness",NA
"159","s_46","Earthworms","Land-use change","DF (gradient)","Specific richness",NA
"160","s_46","Earthworms","Land-use change","NOT (gradient)","Proportion of individuals",NA
"161","s_46","Earthworms","Land-use change","ORG (gradient)","Proportion of individuals",NA
"162","s_46","Earthworms","Land-use change","OLD (gradient)","Proportion of individuals",NA
"163","s_46","Earthworms","Land-use change","CF (gradient)","Proportion of individuals",NA
"164","s_46","Earthworms","Land-use change","DF (gradient)","Proportion of individuals",NA
"165","s_52","Spiders","Landscape complexity","20 m (cereal field)","Number of individuals",NA
"166","s_52","Beetles","Landscape complexity","20 m (cereal field)","Number of individuals",NA
"167","s_52","Other insects","Landscape complexity","20 m (cereal field)","Number of individuals",NA
"168","s_52","Spiders","Landscape complexity","20 m (cereal field)","Proportion of individuals",NA
"169","s_52","Beetles","Landscape complexity","20 m (cereal field)","Proportion of individuals",NA
"170","s_52","Other insects","Landscape complexity","20 m (cereal field)","Proportion of individuals",NA
"171","s_52","Spiders","Landscape complexity","20 m (cereal field)","Cumulative dominance",NA
"172","s_52","Beetles","Landscape complexity","20 m (cereal field)","Cumulative dominance",NA
"173","s_52","Other insects","Landscape complexity","20 m (cereal field)","Cumulative dominance",NA
"174","s_58","Beetles","Combined practices","No treatments nor tillage (grassland)","CWM",NA
"175","s_58","Beetles","Combined practices","No treatments nor tillage (grassland)","CWM","Carnivory"
"176","s_61","Other insects","Agroforestry","Crop alleys","Surface density",NA
"177","s_61","Collembola","Agroforestry","Crop alleys","Surface density",NA
"178","s_61","Woodlice","Agroforestry","Crop alleys","Surface density",NA
"179","s_61","Acari","Agroforestry","Crop alleys","Surface density",NA
"180","s_61","Spiders","Agroforestry","Crop alleys","Surface density",NA
"181","s_61","Other arachnids","Agroforestry","Crop alleys","Surface density",NA
"182","s_61","Beetles","Agroforestry","Crop alleys","Surface density",NA
"183","s_61","Millipedes","Agroforestry","Crop alleys","Surface density",NA
"184","s_61","Ants","Agroforestry","Crop alleys","Surface density",NA
"185","s_61","Mollusks","Agroforestry","Crop alleys","Surface density",NA
"186","s_61","Beetles","Agroforestry","Crop alleys","CWM",NA
"187","s_61","Beetles","Agroforestry","Crop alleys","Functional Diversity variance (FDvar)",NA
"188","s_72","Beetles","Organic agriculture","Conventional WW","CWM",NA
"189","s_72","Beetles","Organic agriculture","Conventional FF","CWM",NA
"190","s_85","Beetles","Organic agriculture","Conventional","Number of individuals",NA
"191","s_85","Beetles","Organic agriculture","Conventional","Specific richness",NA
"192","s_85","Beetles","Organic agriculture","Conventional","Shannon diversity index",NA
"193","s_85","Beetles","Organic agriculture","Conventional","Berger-Parker",NA
"194","s_85","Beetles","Organic agriculture","Conventional","Rao Stirling index",NA
"195","s_85","Spiders","Organic agriculture","Conventional","Number of individuals",NA
"196","s_85","Spiders","Organic agriculture","Conventional","Specific richness",NA
"197","s_85","Spiders","Organic agriculture","Conventional","Shannon diversity index",NA
"198","s_85","Spiders","Organic agriculture","Conventional","Berger-Parker",NA
"199","s_85","Spiders","Organic agriculture","Conventional","Rao Stirling index",NA
"200","s_85","Beetles","Organic agriculture","Conventional","Principal Component Analysis",NA
"201","s_85","Spiders","Organic agriculture","Conventional","Principal Component Analysis",NA
"202","s_77","Beetles","Organic agriculture","Flowering fields","Specific richness",NA
"203","s_77","Spiders","Organic agriculture","Flowering fields","Specific richness",NA
"204","s_77","Beetles","Organic agriculture","Flowering fields","CWM",NA
"205","s_77","Spiders","Organic agriculture","Flowering fields","CWM",NA
"206","s_77","Spiders","Landscape complexity","No arable crops","CWM",NA
"207","s_87","Earthworms","Fertilisers and amendments","C - F","Taxonomic richness",NA
"208","s_87","Earthworms","Fertilisers and amendments","C - F","Surface density",NA
"209","s_87","Earthworms","Fertilisers and amendments","C - F","Biomass",NA
"210","s_87","Earthworms","Fertilisers and amendments","R − F","Taxonomic richness",NA
"211","s_87","Earthworms","Fertilisers and amendments","R − F","Surface density",NA
"212","s_87","Earthworms","Fertilisers and amendments","R − F","Biomass",NA
