"","Study_ID","Outcome_indicator","Outcome_type_R2"
"1","s_5","Rao's quadratic diversity","MultiTrait value"
"2","s_5","CWM","Trait value"
"3","s_7","Dry weight","Trait value"
"4","s_7","Body size","Trait value"
"5","s_8","Functional richness (Fric)","MultiTrait value"
"6","s_8","Functional evenness (Feve)","MultiTrait value"
"7","s_8","CWM","Trait value"
"8","s_24","CWM","Trait value"
"9","s_24","Functional Diversity variance (FDvar)","Trait value"
"10","s_25","CWM","Trait value"
"11","s_25","Proportion of species","Trait value"
"12","s_25","Functional diversity (FDis)","MultiTrait value"
"13","s_27","Relative effect of estimates","MultiTrait value"
"14","s_27","Multi-trait diversity (scaled)","MultiTrait value"
"15","s_36","Biomass","Trait value"
"16","s_36","Functional diversity (FDis)","MultiTrait value"
"17","s_36","FDmovement","MultiTrait value"
"18","s_36","FDsize","MultiTrait value"
"19","s_36","FDlocation","MultiTrait value"
"20","s_29","QBS-ar","MultiTrait value"
"21","s_29","Biomass","Trait value"
"22","s_40","CWM","Trait value"
"23","s_44_Site 1","QBS-ar","MultiTrait value"
"24","s_44_Site 2","QBS-ar","MultiTrait value"
"25","s_44_Site 3","QBS-ar","MultiTrait value"
"26","s_44_Site 4","QBS-ar","MultiTrait value"
"27","s_44_Site 5","QBS-ar","MultiTrait value"
"28","s_44_Site 1","Biomass","Trait value"
"29","s_44_Site 2","Biomass","Trait value"
"30","s_44_Site 3","Biomass","Trait value"
"31","s_44_Site 4","Biomass","Trait value"
"32","s_44_Site 5","Biomass","Trait value"
"33","s_46","Biomass","Trait value"
"34","s_52","Proportion of individuals","Trait value"
"35","s_52","Cumulative dominance","Trait value"
"36","s_58","CWM","Trait value"
"37","s_61","CWM","Trait value"
"38","s_61","Functional Diversity variance (FDvar)","Trait value"
"39","s_72","CWM","Trait value"
"40","s_85","Rao Stirling index","MultiTrait value"
"41","s_77","CWM","Trait value"
"42","s_87","Biomass","Trait value"
"43","s_2","Proportion of individuals","Trait value"
"44","s_3","Functional group richness","MultiTrait value"
"45","s_3","Functional dispersion (FDis)","MultiTrait value"
"46","s_3","Functional redundancy","MultiTrait value"
"47","s_3","Response diversity","MultiTrait value"
"48","s_4_site_1","Functional richness (Fric)","MultiTrait value"
"49","s_4_site_1","Functional evenness (Feve)","MultiTrait value"
"50","s_4_site_1","Functional divergence (FDiv)","MultiTrait value"
"51","s_4_site_2","Functional richness (Fric)","MultiTrait value"
"52","s_4_site_2","Functional evenness (Feve)","MultiTrait value"
"53","s_4_site_2","Functional divergence (FDiv)","MultiTrait value"
"54","s_4_site_3","Functional richness (Fric)","MultiTrait value"
"55","s_4_site_3","Functional evenness (Feve)","MultiTrait value"
"56","s_4_site_3","Functional divergence (FDiv)","MultiTrait value"
"57","s_126","Body size","Trait value"
"58","s_126","Proportion of individuals","Trait value"
"59","s_122","CWM","Trait value"
"60","s_125","Biomass","Trait value"
"61","s_130","Biomass","Trait value"
"62","s_131","Body size","Trait value"
"63","s_131","Proportion of species","Trait value"
"64","s_132_site_1","Biomass","Trait value"
"65","s_132_site_2","Biomass","Trait value"
"66","s_132_site_3","Biomass","Trait value"
"67","s_132_site_4","Biomass","Trait value"
"68","s_141","Biomass","Trait value"
"69","s_142","Biomass","Trait value"
"70","s_142","Proportion of individuals","Trait value"
"71","s_147","Biomass","Trait value"
"72","s_155","CWM","Trait value"
"73","s_163","Body mass","Trait value"
"74","s_163","Biomass","Trait value"
"75","s_184","Log of biomass","Trait value"
"76","s_204","Biomass","Trait value"
"77","s_172","Biomass","Trait value"
"78","s_193","Biomass","Trait value"
"79","s_167","Functional richness (Fric)","MultiTrait value"
"80","s_167","Functional evenness (Feve)","MultiTrait value"
"81","s_167","Functional divergence (FDiv)","MultiTrait value"
"82","s_167","Functional dispersion (FDis)","MultiTrait value"
"83","s_167","Functional redundancy","MultiTrait value"
"84","s_167","Number of individuals","Trait value"
"85","s_167","Body size","Trait value"
