"","Study_ID","Publication_Year","Latitude","Longitude","Newspaper","Study_country"
"1","s_5",2013,48.8,2.133333,"Applied Soil Ecology","France"
"2","s_7",2007,53.152444,-1.41925,"Basic and Applied Ecology","United Kingdom"
"3","s_8",2020,51.391667,11.880278,"Soil Biology and Biochemistry","Germany"
"4","s_24",2019,50.919222,11.001278,"Journal of Applied Ecology","Germany"
"5","s_25",2016,51.736083,7.462028,"Agriculture, Ecosystems & Environment","Germany"
"6","s_27",2019,46.844333,-0.756944,"Proceedings of the National Academy of Sciences","France"
"7","s_36",2010,51.954444,-1.000278,"Agriculture, Ecosystems & Environment","United Kingdom"
"8","s_29",2021,44.672306,10.30125,"Soil and Tillage Research","Italy"
"9","s_40",2020,51.722111,9.861333,"Basic and Applied Ecology","Germany"
"10","s_44_Site 1",2020,45.00575,9.707556,"Applied Soil Ecology","Italy"
"11","s_44_Site 2",2020,45.087528,9.190694,"Applied Soil Ecology","Italy"
"12","s_44_Site 3",2020,45.184528,10.880556,"Applied Soil Ecology","Italy"
"13","s_44_Site 4",2020,45.14375,10.10825,"Applied Soil Ecology","Italy"
"14","s_44_Site 5",2020,45.223389,9.889417,"Applied Soil Ecology","Italy"
"15","s_46",2008,42.4,-85.4,"Soil and Tillage Research","United States of America"
"16","s_52",2014,51.686944,10.00525,"Insect Conservation and Diversity","Germany"
"17","s_58",2016,55.587222,13.016806,"PLOS One","Sweden"
"18","s_61",2019,43.715972,3.859139,"Agriculture, Ecosystems & Environment","France"
"19","s_72",2019,48.299944,9.354167,"Agriculture, Ecosystems & Environment","Germany"
"20","s_85",2022,50.524556,3.613056,"Frontiers in Sustainable Food Systems","Belgium"
"21","s_77",2017,50.670639,9.036472,"Insect Conservation and Diversity","Germany"
"22","s_87",2011,-1.25,36.683333,"Applied Soil Ecology","Kenya"
"23","s_2",2012,49.01,2.1,"Environmental Pollution","France"
"24","s_3",2015,-1.615319,102.554799,"Biological Conservation","Indonesia"
"25","s_4_site_1",2016,48.8,2.133333,"Soil and Tillage Research","France"
"26","s_4_site_2",2016,45.816667,5.333333,"Soil and Tillage Research","France"
"27","s_4_site_3",2016,47.866667,-2.766667,"Soil and Tillage Research","France"
"28","s_126",2013,59.85,17.633333,"Agriculture, Ecosystems & Environment","Sweden"
"29","s_122",2015,40.823056,14.396528,"European Journal of Soil Biology","Italy"
"30","s_125",2012,-15.596167,48.164889,"Soil and Tillage Research","Madagascar"
"31","s_130",2009,49.85,6.55,"European Journal of Soil Biology","Germany"
"32","s_131",1997,52.274278,10.525472,"Biological Agriculture & Horticulture","Germany"
"33","s_132_site_1",2003,52.04,13.15,"Oikos","Netherlands"
"34","s_132_site_2",2003,55.45,13.15,"Oikos","Sweden"
"35","s_132_site_3",2003,49.2,15,"Oikos","Czechia"
"36","s_132_site_4",2003,51.4,-0.48,"Oikos","United Kingdom"
"37","s_141",2011,12.283333,-2.158333,"Applied Soil Ecology","Burkina Faso"
"38","s_142",2003,-2.516667,-60.016667,"Pedobiologia","Brazil"
"39","s_147",1996,42.738528,12.8565,"Critical Reviews in Plant Sciences","Italy"
"40","s_155",2015,43.95,4.816,"Ecotoxicology","France"
"41","s_163",2008,50.983333,3.816667,"Applied Soil Ecology","Netherlands"
"42","s_184",1998,52.098972,5.649111,"Soil Biology and Biochemistry","Netherlands"
"43","s_204",2009,38.376111,-121.875444,"Applied Soil Ecology","United States of America"
"44","s_172",2007,38.889417,-100.510917,"The American midland naturalist","United States of America"
"45","s_193",1997,52.495111,-3.577722,"Journal of Applied Ecology","United Kingdom"
"46","s_167",2014,55.780722,13.594639,"Oecologia","Sweden"
